,p,BFS Time,A* Time
0,0.17,0.4537149,1.3595077
0,0.17,0.450065,1.4684032
0,0.17,0.5184784,1.4325814
0,0.17,0.389164,1.1644285
0,0.17,0.6213718,2.3446349
0,0.17,0.5132322,2.0203999
0,0.17,0.4893048,1.8725807
0,0.17,0.5606439,1.8315552
0,0.17,0.3650955,1.0813902
0,0.17,0.2883868,0.9512123
0,0.17,0.4976983,1.6688539
0,0.17,0.5367529,1.8100685
0,0.17,0.4776599,1.7529738
0,0.17,0.4838669,1.9933999
0,0.17,0.4773083,1.1298609
0,0.17,0.6623023,1.9436252
0,0.17,0.4342456,1.1920854
0,0.17,0.4163947,1.4556336
0,0.17,0.512262,1.4446965
0,0.17,0.4676933,1.4090215
0,0.17,0.6851944,1.8263881
0,0.18,0.392218,1.0163633
0,0.18,0.5930421,1.4960105
0,0.18,0.5812458,1.920827
0,0.18,0.5445738,1.9239671
0,0.18,0.6805245,1.8104632
0,0.18,0.5146401,1.3526506
0,0.18,0.6267509,1.924742
0,0.18,0.5933508,1.9386822
0,0.18,0.5265693,1.5353071
0,0.18,0.5174053,1.7165733
0,0.18,0.5877393,1.5844771
0,0.18,0.6033019,1.6633363
0,0.18,0.6051698,1.8206315
0,0.18,0.5227299,1.524795
0,0.18,0.4052022,1.2499387
0,0.18,0.4917235,1.6403197
0,0.18,0.5293267,2.1395738
0,0.18,0.9829824,3.8958308
0,0.18,0.5702508,1.5075331
0,0.18,0.3835617,1.1417054
0,0.18,0.7720407,2.4624021
0,0.18,0.5777126,1.6810625
0,0.18,0.4817266,1.4017677
0,0.18,0.439899,1.0787307
0,0.18,0.7359578,2.5723853
0,0.18,0.4872647,1.7873303
0,0.18,0.5083062,1.3585663
0,0.18,0.4271819,1.4467119
0,0.18,0.7660654,2.5821116
0,0.18,0.5058445,1.5734452
0,0.19,0.5530107,1.5178168
0,0.19,0.5932871,1.8847471
0,0.19,0.4311026,1.1616809
0,0.19,0.6162211,2.0189789
0,0.19,0.4838997,1.6904678
0,0.19,0.5059221,1.6353319
0,0.19,0.5727232,1.2525252
0,0.19,0.4358157,1.405696
0,0.19,0.4234937,1.4074477
0,0.19,0.5638702,1.5235371
0,0.19,0.5475021,1.5256366
0,0.19,0.6973976,2.0329949
0,0.19,0.4154114,1.1197477
0,0.19,0.5973262,1.8843996
0,0.19,0.5720162,1.9728513
0,0.19,0.6571341,2.3858265
0,0.19,0.5651205,1.9231282
0,0.19,0.5374359,1.6446955
0,0.19,0.7901578,2.2377256
0,0.19,0.5770391,1.7517657
0,0.19,0.3557308,1.167311
0,0.19,0.6659334,2.156071
0,0.19,0.7094191,2.9640776
0,0.19,0.5198911,1.7370458
0,0.19,0.5240209,1.4494096
0,0.19,0.3942951,0.8923891
0,0.19,0.514716,1.5624494
0,0.19,0.4817779,1.6696928
0,0.19,0.5000635,1.4261917
0,0.19,0.5460157,1.2966927
0,0.2,0.6940884,2.0934805
0,0.2,0.5698257,1.873922
0,0.2,0.7085213,2.4223157
0,0.2,0.5301667,1.7149912
0,0.2,0.7486332,2.2989411
0,0.2,0.702042,2.2476927
0,0.2,0.6069061,1.7453506
0,0.2,0.7675774,1.8801716
0,0.2,0.6320201,2.3362125
0,0.2,0.5642088,1.5171891
0,0.2,0.6799348,1.9928313
0,0.2,0.5804119,1.4782542
0,0.2,0.7086817,2.5089659
0,0.2,0.5017375,1.624051
0,0.2,0.5440578,1.749273
0,0.2,0.8560286,2.8141377
0,0.2,0.7058066,2.0275928
0,0.2,0.6276637,1.6632261
0,0.2,0.5528241,1.5794385
0,0.2,0.6252074,1.8597966
0,0.2,0.7172894,2.5563864
0,0.2,0.6254855,1.3425807
0,0.2,0.5032772,1.8827154
0,0.2,0.6067792,2.3457114
0,0.2,0.8858826,2.650932
0,0.2,0.5215672,1.6900115
0,0.2,0.6112568,1.7493712
0,0.2,0.6054339,1.5706544
0,0.2,0.619559,2.050927
0,0.2,0.5203441,1.693715
0,0.21,0.5553319,1.7116088
0,0.21,0.8234554,2.3512628
0,0.21,0.5240576,1.5418306
0,0.21,0.649267,2.0271417
0,0.21,0.6726541,1.8834128
0,0.21,0.5055144,1.3602018
0,0.21,0.4905022,1.2245311
0,0.21,0.6793375,2.493994
0,0.21,0.7395828,1.9872645
0,0.21,0.6376116,2.0844762
0,0.21,0.8645822,2.6024108
0,0.21,0.5445138,1.5639999
0,0.21,0.8832667,2.4855851
0,0.21,0.8451511,2.6303749
0,0.21,0.597483,1.5641676
0,0.21,0.4114693,1.3628744
0,0.21,0.6754605,2.3248769
0,0.21,0.6502888,2.2061065
0,0.21,0.6529358,1.9056998
0,0.21,0.7225949,2.1925616
0,0.21,0.8400408,2.4439449
0,0.21,0.6647544,2.4113353
0,0.21,0.8382306,2.8148756
0,0.21,0.5532134,2.0618201
0,0.21,0.5262348,1.4350891
0,0.21,0.6419559,1.6470274
0,0.21,0.4775898,1.3947141
0,0.21,0.9925671,2.1745264
0,0.21,0.6966279,1.9343575
0,0.21,0.6249673,2.3673054
0,0.22,0.7695619,2.0618406
0,0.22,0.5749924,2.1617443
0,0.22,0.5854984,1.9946097
0,0.22,0.8079333,2.4866855
0,0.22,0.6623555,2.2130469
0,0.22,0.5495951,1.8574037
0,0.22,0.4780852,1.5230001
0,0.22,0.8736261,3.3464547
0,0.22,0.5514191,1.6604726
0,0.22,0.8671424,2.659051
0,0.22,0.6278504,1.9331325
0,0.22,0.5977449,1.9685051
0,0.22,0.7867518,2.8514021
0,0.22,0.7623458,2.5982596
0,0.22,0.5336948,1.9651676
0,0.22,0.6967376,1.9803368
0,0.22,0.6445943,1.5467826
0,0.22,1.0376949,3.0951191
0,0.22,0.6285711,1.8609396
0,0.22,0.5306943,1.6180002
0,0.22,0.8921912,3.2100299
0,0.22,0.6084804,2.0624247
0,0.22,0.7248005,2.1192571
0,0.22,0.6188459,2.1446807
0,0.22,0.7160241,2.5413408
0,0.22,0.7393501,2.3608583
0,0.22,0.7916662,2.3868822
0,0.22,0.9068094,2.5780408
0,0.22,0.6010138,1.7968032
0,0.22,0.7104601,2.2759142
0,0.23,0.6150282,2.1244208
0,0.23,0.6718052,1.9453841
0,0.23,0.63167,2.1074234
0,0.23,0.7817354,2.0652866
0,0.23,0.7528004,2.294554
0,0.23,0.7709149,2.6423125
0,0.23,0.6869312,1.9553323
0,0.23,0.8661843,2.7311112
0,0.23,0.5859451,1.8992454
0,0.23,0.7173334,1.9531111
0,0.23,0.8994304,2.996432
0,0.23,0.8282614,2.2385808
0,0.23,0.6930498,1.9280767
0,0.23,0.7515926,2.701073
0,0.23,0.6490018,2.0080666
0,0.23,0.6531066,2.0368952
0,0.23,0.6327786,2.6572989
0,0.23,0.6079317,1.6219345
0,0.23,0.8245757,2.7467237
0,0.23,0.8480351,2.5964582
0,0.23,0.9322042,3.5918861
0,0.23,0.6505519,1.8688982
0,0.23,0.7627315,2.1096965
0,0.23,0.702598,2.4012624
0,0.23,0.7782404,2.3601851
0,0.23,0.6550698,2.298074
0,0.23,0.8214544,2.6428098
0,0.23,0.7398532,2.3125291
0,0.23,0.7834624,2.4779833
0,0.23,0.7415356,2.3569512
0,0.24,0.6173106,1.9529416
0,0.24,0.6455679,2.2347327
0,0.24,0.6269979,2.2498562
0,0.24,0.8198325,3.1079873
0,0.24,1.0079541,3.1437026
0,0.24,0.7373474,2.0953601
0,0.24,0.8001111,2.6867952
0,0.24,1.0385524,3.8410064
0,0.24,0.9312093,2.4510282
0,0.24,0.9492622,2.5503726
0,0.24,0.6834831,2.4246207
0,0.24,1.0938965,3.4433355
0,0.24,0.9752478,3.1576007
0,0.24,0.9561001,2.3971264
0,0.24,0.9200761,3.0416443
0,0.24,0.6924057,2.1424024
0,0.24,0.6654778,2.3534477
0,0.24,0.8484586,2.4290014
0,0.24,0.742262,2.1391577
0,0.24,1.2673793,2.8038616
0,0.24,0.7723201,2.5272717
0,0.24,0.9613245,3.3247278
0,0.24,0.6519111,1.876955
0,0.24,0.8586242,3.2058317
0,0.24,0.87163,2.585526
0,0.24,0.4984706,1.4871876
0,0.24,0.8941065,2.9042307
0,0.24,1.0974563,3.8884607
0,0.24,0.7922451,2.7519474
0,0.24,0.9168102,1.9987748
0,0.25,0.997538,2.9753012
0,0.25,0.8071241,2.5089324
0,0.25,0.8685474,2.6241668
0,0.25,0.7806862,2.5201734
0,0.25,0.7720849,2.0966037
0,0.25,0.7830514,2.2343642
0,0.25,0.7080877,2.8454644
0,0.25,1.1404084,3.5142759
0,0.25,0.7554855,2.2478513
0,0.25,0.9230633,3.1276369
0,0.25,0.8651263,2.6712323
0,0.25,1.2178588,2.9993941
0,0.25,0.9178756,2.8081319
0,0.25,0.4572716,0.8182968
0,0.25,0.8716066,1.6673948
0,0.25,0.6287495,2.4718794
0,0.25,0.6559758,2.341548
0,0.25,0.9006726,2.4764159
0,0.25,0.6804284,2.2071368
0,0.25,0.8456444,2.5066127
0,0.25,0.9743064,3.2882961
0,0.25,0.7806447,2.5395611
0,0.25,0.7400544,2.2676415
0,0.25,0.8846023,3.3304738
0,0.25,0.9857769,3.5486414
0,0.25,0.9726586,2.7179221
0,0.25,0.8014275,2.2006035
0,0.25,0.8827011,2.8883442
0,0.25,0.8903239,2.1547006
0,0.25,0.8236849,2.6963348
0,0.26,1.1284575,3.4539313
0,0.26,0.9904344,3.2266256
0,0.26,1.1103878,2.4457184
0,0.26,1.0615644,2.956326
0,0.26,1.0557735,4.1632457
0,0.26,0.7974081,2.4447622
0,0.26,0.6871304,1.8987935
0,0.26,0.8297722,2.9446645
0,0.26,0.8458148,2.132264
0,0.26,0.5846438,2.3131398
0,0.26,0.9837072,3.2279818
0,0.26,0.9193486,3.2251187
0,0.26,1.0625344,4.0461108
0,0.26,1.2314821,2.8338895
0,0.26,0.8762104,2.9867825
0,0.26,0.9696701,2.7678839
0,0.26,0.9014607,2.6109723
0,0.26,0.9000652,3.6349789
0,0.26,0.8723101,2.420317
0,0.26,1.0770759,2.4226351
0,0.26,0.869664,2.2990771
0,0.26,1.0956074,3.3674183
0,0.26,0.8993289,3.1774799
0,0.26,0.6673906,1.9692008
0,0.26,0.9434336,3.6209484
0,0.26,0.8592894,1.9751937
0,0.26,0.7113168,2.4272619
0,0.26,0.6559249,2.3142115
0,0.26,1.0268893,3.3363846
0,0.26,0.9816517,2.9338237
0,0.27,1.5039516,5.3325165
