,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.04,209,201,201,35959
0,0.04,211,201,201,20316
0,0.04,201,201,201,14231
0,0.04,207,201,201,30760
0,0.04,211,201,201,28207
0,0.04,211,201,201,27334
0,0.04,211,201,201,44147
0,0.04,223,201,201,26993
0,0.04,213,201,201,26843
0,0.04,209,201,201,26456
0,0.04,213,201,201,16645
0,0.04,203,201,201,60056
0,0.04,207,201,201,12414
0,0.04,207,201,201,30411
0,0.04,221,201,201,14586
0,0.04,205,201,201,42373
0,0.04,209,201,201,60551
0,0.04,203,201,201,18954
0,0.04,203,201,201,27990
0,0.04,205,201,201,13523
0,0.04,205,201,201,44499
0,0.04,205,201,201,41335
0,0.04,221,201,201,15823
0,0.04,205,201,201,25876
0,0.04,209,201,201,29622
0,0.04,213,201,201,37383
0,0.04,209,201,201,36304
0,0.04,219,201,201,34067
0,0.04,207,201,201,39202
0,0.04,217,201,201,30448
0,0.04,215,201,201,37645
0,0.04,209,201,201,30818
0,0.04,215,201,201,18239
0,0.04,205,201,201,36834
0,0.04,209,201,201,34510
0,0.04,205,201,201,42199
0,0.04,213,201,201,48963
0,0.04,215,201,201,32541
0,0.05,209,201,201,37891
0,0.05,215,201,201,36250
0,0.05,213,201,201,20052
0,0.05,219,201,201,27468
0,0.05,215,201,201,44894
0,0.05,211,201,201,42412
0,0.05,211,201,201,48807
0,0.05,217,201,201,44881
0,0.05,219,201,201,40126
0,0.05,219,201,201,47199
0,0.05,219,201,201,17811
0,0.05,207,201,201,37946
0,0.05,209,201,201,33317
0,0.05,209,201,201,49819
0,0.05,205,201,201,36107
0,0.05,217,201,201,30456
0,0.05,209,201,201,37475
0,0.05,211,201,201,37587
0,0.05,213,201,201,26701
0,0.05,217,201,201,14079
0,0.05,211,201,201,26401
0,0.05,205,201,201,30963
0,0.05,215,201,201,50878
0,0.05,219,201,201,40366
0,0.05,209,201,201,35492
0,0.05,217,201,201,35168
0,0.05,219,201,201,54956
0,0.05,211,201,201,22615
0,0.05,215,201,201,18529
0,0.05,223,201,201,33789
0,0.05,211,201,201,75096
0,0.05,213,201,201,43849
0,0.05,209,201,201,35802
0,0.05,215,201,201,36029
0,0.05,223,201,201,32130
0,0.05,209,201,201,22873
0,0.05,217,201,201,58903
0,0.05,205,201,201,54771
0,0.05,209,201,201,39508
0,0.05,205,201,201,50667
0,0.05,207,201,201,17493
0,0.05,213,201,201,37510
0,0.05,209,201,201,15668
0,0.05,211,201,201,47499
0,0.05,209,201,201,50641
0,0.05,211,201,201,11222
0,0.05,211,201,201,21037
0,0.05,217,201,201,31972
0,0.05,211,201,201,28600
0,0.05,209,201,201,37122
0,0.05,207,201,201,41313
0,0.05,213,201,201,35980
0,0.05,217,201,201,27869
0,0.05,209,201,201,31635
0,0.05,215,201,201,17384
0,0.05,213,201,201,27535
0,0.05,213,201,201,40714
0,0.05,207,201,201,25624
0,0.05,213,201,201,33361
0,0.05,207,201,201,22368
0,0.05,215,201,201,34836
0,0.05,221,201,201,13294
0,0.05,213,201,201,54561
0,0.05,205,201,201,31512
0,0.05,215,201,201,36388
0,0.05,211,201,201,29594
0,0.05,211,201,201,45250
0,0.05,213,201,201,30832
0,0.05,211,201,201,29778
0,0.05,213,201,201,34968
0,0.05,215,201,201,25178
0,0.05,219,201,201,45761
