,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.18000000000000002,283,201,201,323200
0,0.18000000000000002,299,201,201,443889
0,0.18000000000000002,269,201,201,328541
0,0.18000000000000002,281,201,201,320337
0,0.18000000000000002,247,201,201,319760
0,0.18000000000000002,275,201,201,316473
0,0.18000000000000002,295,201,201,408227
0,0.18000000000000002,271,201,201,339270
0,0.18000000000000002,269,201,201,390351
0,0.18000000000000002,269,201,201,288027
0,0.18000000000000002,271,201,201,414813
0,0.19000000000000003,253,201,201,453580
0,0.19000000000000003,291,201,201,399725
0,0.19000000000000003,249,201,201,283295
0,0.19000000000000003,281,201,201,279072
0,0.19000000000000003,275,201,201,316083
0,0.19000000000000003,301,201,201,385060
0,0.19000000000000003,271,201,201,389832
0,0.19000000000000003,291,201,201,671408
0,0.19000000000000003,235,201,201,209456
0,0.19000000000000003,261,201,201,367428
0,0.19000000000000003,275,201,201,459407
0,0.19000000000000003,245,201,201,458643
0,0.19000000000000003,265,201,201,289994
0,0.19000000000000003,263,201,201,352783
0,0.19000000000000003,297,201,201,286988
0,0.19000000000000003,301,201,201,482632
0,0.19000000000000003,261,201,201,333230
0,0.19000000000000003,259,201,201,359416
0,0.19000000000000003,295,201,201,452168
0,0.19000000000000003,271,201,201,309416
0,0.19000000000000003,275,201,201,457562
0,0.19000000000000003,271,201,201,284106
0,0.19000000000000003,313,201,201,345263
0,0.19000000000000003,243,201,201,311113
0,0.19000000000000003,257,201,201,374684
0,0.19000000000000003,275,201,201,323618
0,0.19000000000000003,247,201,201,258244
0,0.19000000000000003,253,201,201,377325
0,0.19000000000000003,277,201,201,331268
0,0.19000000000000003,273,201,201,359831
0,0.20000000000000004,269,201,201,278634
0,0.20000000000000004,307,201,201,474032
0,0.20000000000000004,239,201,201,404600
0,0.20000000000000004,265,201,201,341299
0,0.20000000000000004,265,201,201,346018
0,0.20000000000000004,321,201,201,534928
0,0.20000000000000004,275,201,201,319306
0,0.20000000000000004,305,201,201,427168
0,0.20000000000000004,297,201,201,479303
0,0.20000000000000004,273,201,201,403924
0,0.20000000000000004,279,201,201,381610
0,0.20000000000000004,267,201,201,481481
0,0.20000000000000004,295,201,201,518158
0,0.20000000000000004,255,201,201,264168
0,0.20000000000000004,301,201,201,522759
0,0.20000000000000004,293,201,201,548860
0,0.20000000000000004,291,201,201,561795
0,0.20000000000000004,261,201,201,391531
0,0.20000000000000004,241,201,201,413216
0,0.20000000000000004,283,201,201,378955
0,0.20000000000000004,271,201,201,336937
0,0.20000000000000004,273,201,201,354537
0,0.20000000000000004,259,201,201,380885
0,0.20000000000000004,311,201,201,323230
0,0.20000000000000004,297,201,201,463117
0,0.20000000000000004,293,201,201,498521
0,0.20000000000000004,249,201,201,311381
0,0.20000000000000004,343,201,201,381110
0,0.20000000000000004,331,201,201,565398
0,0.20000000000000004,317,201,201,521708
0,0.21000000000000005,287,201,201,295357
0,0.21000000000000005,263,201,201,533373
0,0.21000000000000005,277,201,201,457087
0,0.21000000000000005,281,201,201,301122
0,0.21000000000000005,263,201,201,444386
0,0.21000000000000005,293,201,201,403262
0,0.21000000000000005,267,201,201,427407
0,0.21000000000000005,283,201,201,292107
0,0.21000000000000005,311,201,201,496041
0,0.21000000000000005,337,201,201,464571
0,0.21000000000000005,265,201,201,338388
0,0.21000000000000005,281,201,201,288285
0,0.21000000000000005,277,201,201,346394
0,0.21000000000000005,305,201,201,428104
0,0.21000000000000005,265,201,201,339737
0,0.21000000000000005,241,201,201,249571
0,0.21000000000000005,239,201,201,302171
0,0.21000000000000005,257,201,201,383113
0,0.21000000000000005,261,201,201,283898
0,0.21000000000000005,265,201,201,356716
0,0.21000000000000005,321,201,201,568661
0,0.21000000000000005,309,201,201,431117
0,0.21000000000000005,273,201,201,386126
0,0.21000000000000005,261,201,201,360368
0,0.21000000000000005,315,201,201,550292
0,0.21000000000000005,271,201,201,411744
0,0.21000000000000005,295,201,201,468137
0,0.21000000000000005,307,201,201,439797
0,0.21000000000000005,271,201,201,339440
0,0.21000000000000005,303,201,201,460986
0,0.22000000000000006,269,201,201,396372
0,0.22000000000000006,319,201,201,452204
0,0.22000000000000006,257,201,201,460801
0,0.22000000000000006,367,201,201,583276
0,0.22000000000000006,307,201,201,320875
0,0.22000000000000006,269,201,201,354412
0,0.22000000000000006,337,201,201,545091
0,0.22000000000000006,323,201,201,714313
0,0.22000000000000006,325,201,201,522948
0,0.22000000000000006,335,201,203,626774
0,0.22000000000000006,277,201,201,515914
0,0.22000000000000006,325,201,203,513500
0,0.22000000000000006,351,201,201,479208
0,0.22000000000000006,289,201,203,581121
0,0.22000000000000006,277,201,201,383340
0,0.22000000000000006,285,201,201,455957
0,0.22000000000000006,291,201,201,434134
0,0.22000000000000006,257,201,201,410029
0,0.22000000000000006,289,201,201,404618
0,0.22000000000000006,361,201,201,694070
0,0.22000000000000006,269,201,201,388015
0,0.22000000000000006,285,201,201,220471
0,0.22000000000000006,259,201,201,452953
0,0.22000000000000006,305,201,201,430191
0,0.22000000000000006,289,201,201,515708
0,0.22000000000000006,283,201,201,371923
0,0.22000000000000006,283,201,201,411271
0,0.22000000000000006,311,201,201,321411
0,0.22000000000000006,305,201,201,618133
0,0.22000000000000006,331,201,201,598976
0,0.23000000000000007,273,201,201,473342
0,0.23000000000000007,261,201,201,400412
0,0.23000000000000007,289,201,201,375933
0,0.23000000000000007,277,201,201,351342
0,0.23000000000000007,277,201,201,459042
0,0.23000000000000007,287,201,201,603529
0,0.23000000000000007,361,201,201,660584
0,0.23000000000000007,271,201,201,507493
0,0.23000000000000007,317,201,201,566653
0,0.23000000000000007,325,201,201,594093
0,0.23000000000000007,307,201,201,429666
0,0.23000000000000007,283,201,201,652569
0,0.23000000000000007,291,201,201,445671
0,0.23000000000000007,307,201,201,565694
0,0.23000000000000007,363,201,203,715160
0,0.23000000000000007,269,201,201,398258
0,0.23000000000000007,259,201,201,333051
0,0.23000000000000007,295,201,201,440150
0,0.23000000000000007,279,201,201,466288
0,0.23000000000000007,255,201,201,296469
0,0.23000000000000007,265,201,201,200972
0,0.23000000000000007,371,201,201,824409
0,0.23000000000000007,275,201,201,484365
